Frequency (Hz)	Level (dB)
43.066406	-9.307892
86.132812	-4.788313
129.199219	-8.455908
172.265625	-28.051134
215.332031	-28.848398
258.398438	-16.394218
301.464844	-16.009874
344.531250	-28.283558
387.597656	-37.245144
430.664062	-23.677000
473.730469	-19.648113
516.796875	-26.920982
559.863281	-42.153904
602.929688	-32.713154
645.996094	-24.629854
689.062500	-27.593338
732.128906	-45.714005
775.195312	-39.273796
818.261719	-28.863279
861.328125	-27.813951
904.394531	-40.838669
947.460938	-40.212570
990.527344	-33.808506
1033.593750	-28.840254
1076.660156	-35.386707
1119.726562	-41.731960
1162.792969	-38.362061
1205.859375	-30.907766
1248.925781	-32.844887
1291.992188	-43.544395
1335.058594	-40.180408
1378.125000	-32.973339
1421.191406	-31.091650
1464.257812	-42.081287
1507.324219	-39.714291
1550.390625	-36.696026
1593.457031	-31.608009
1636.523438	-37.476788
1679.589844	-41.217068
1722.656250	-39.567200
1765.722656	-33.538425
1808.789062	-34.748066
1851.855469	-44.169506
1894.921875	-40.148407
1937.988281	-36.244347
1981.054688	-33.916046
2024.121094	-43.540009
2067.187500	-40.395412
2110.253906	-39.422928
2153.320312	-34.652355
2196.386719	-39.425049
2239.453125	-41.765465
2282.519531	-40.642502
2325.585938	-36.579433
2368.652344	-37.185692
2411.718750	-44.769493
2454.785156	-40.301018
2497.851562	-39.232128
2540.917969	-36.649117
2583.984375	-45.103329
2627.050781	-40.544033
2670.117188	-41.154789
2713.183594	-37.546001
2756.250000	-41.570553
2799.316406	-42.311954
2842.382812	-41.177761
2885.449219	-39.564255
2928.515625	-39.430950
2971.582031	-45.504326
3014.648438	-40.676456
3057.714844	-41.792347
3100.781250	-39.287205
3143.847656	-47.478508
3186.914062	-41.105728
3229.980469	-42.372253
3273.046875	-40.372581
3316.113281	-43.531971
3359.179688	-43.026405
3402.246094	-41.558224
3445.312500	-42.253017
3488.378906	-41.774139
3531.445312	-46.942425
3574.511719	-40.992153
3617.578125	-43.484329
3660.644531	-41.823994
3703.710938	-48.290630
3746.777344	-41.762337
3789.843750	-42.953556
3832.910156	-43.017590
3875.976562	-45.422165
3919.042969	-44.182789
3962.109375	-41.851849
4005.175781	-44.529110
4048.242188	-44.123402
4091.308594	-48.076698
4134.375000	-41.480629
4177.441406	-44.673660
4220.507812	-44.468693
4263.574219	-50.203426
4306.640625	-42.455238
4349.707031	-43.290810
4392.773438	-45.726772
4435.839844	-47.664738
4478.906250	-45.016781
4521.972656	-42.163307
4565.039062	-46.327438
4608.105469	-46.628277
4651.171875	-49.606590
4694.238281	-42.055809
4737.304688	-45.384449
4780.371094	-47.214684
4823.437500	-52.676739
4866.503906	-43.384140
4909.570312	-43.551273
4952.636719	-48.327000
4995.703125	-50.311199
5038.769531	-46.151146
5081.835938	-42.509907
5124.902344	-47.878021
5167.968750	-49.663193
5211.035156	-51.124115
5254.101562	-42.621883
5297.167969	-45.735916
5340.234375	-50.524162
5383.300781	-54.820835
5426.367188	-44.246052
5469.433594	-43.843903
5512.500000	-50.760555
5555.566406	-53.615189
5598.632812	-47.711632
