Frequency (Hz)	Level (dB)
46.875000	-8.590476
93.750000	-5.347354
140.625000	-15.212687
187.500000	-14.493563
234.375000	-18.651264
281.250000	-24.816065
328.125000	-20.693178
375.000000	-19.021753
421.875000	-31.107906
468.750000	-26.855322
515.625000	-22.898233
562.500000	-28.233467
609.375000	-26.332497
656.250000	-27.395805
703.125000	-34.500309
750.000000	-32.420189
796.875000	-27.014893
843.750000	-35.790024
890.625000	-33.660954
937.500000	-30.886465
984.375000	-32.626678
1031.250000	-32.625797
1078.125000	-30.178530
1125.000000	-39.243866
1171.875000	-42.071110
1218.750000	-30.300123
1265.625000	-33.615788
1312.500000	-35.466316
1359.375000	-34.468960
1406.250000	-35.053864
1453.125000	-37.705368
1500.000000	-29.116816
1546.875000	-35.391579
1593.750000	-41.401550
1640.625000	-33.544533
1687.500000	-31.856052
1734.375000	-37.680168
1781.250000	-31.966948
1828.125000	-35.897694
1875.000000	-44.386925
1921.875000	-32.113941
1968.750000	-32.993107
2015.625000	-42.189377
2062.500000	-35.660831
2109.375000	-33.365456
2156.250000	-40.474865
2203.125000	-33.023964
2250.000000	-35.814342
2296.875000	-44.350204
2343.750000	-35.974827
2390.625000	-32.643776
2437.500000	-43.538219
2484.375000	-37.261940
2531.250000	-36.356323
2578.125000	-39.404823
2625.000000	-35.317020
2671.875000	-34.981232
2718.750000	-50.895237
2765.625000	-42.701138
2812.500000	-34.584824
2859.375000	-39.854870
2906.250000	-37.234333
2953.125000	-38.200661
3000.000000	-42.098885
3046.875000	-41.851261
3093.750000	-34.832443
3140.625000	-43.296261
3187.500000	-43.005562
3234.375000	-38.355652
3281.250000	-39.281574
3328.125000	-41.454430
3375.000000	-37.702221
3421.875000	-43.594551
3468.750000	-48.445351
3515.625000	-37.523888
3562.500000	-41.016529
3609.375000	-45.582317
3656.250000	-41.408775
3703.125000	-40.414501
3750.000000	-46.081974
3796.875000	-38.843670
3843.750000	-44.859444
3890.625000	-52.599316
3937.500000	-41.419827
3984.375000	-40.145439
4031.250000	-46.554375
4078.125000	-42.630512
4125.000000	-44.447830
4171.875000	-49.434055
4218.750000	-41.218864
4265.625000	-42.544403
4312.500000	-51.686184
4359.375000	-47.078884
4406.250000	-42.677647
4453.125000	-49.065090
4500.000000	-43.110790
4546.875000	-45.724625
4593.750000	-52.145679
4640.625000	-46.737946
4687.500000	-43.210148
4734.375000	-52.548634
4781.250000	-47.828754
4828.125000	-45.929623
4875.000000	-49.610477
4921.875000	-46.701004
4968.750000	-45.953915
5015.625000	-53.144733
5062.500000	-51.061825
5109.375000	-44.747581
5156.250000	-50.354702
5203.125000	-49.173260
5250.000000	-48.657536
5296.875000	-49.625538
5343.750000	-49.664043
5390.625000	-45.438370
5437.500000	-53.433666
5484.375000	-54.862633
5531.250000	-47.879658
5578.125000	-48.221645
5625.000000	-49.337013
5671.875000	-48.028854
5718.750000	-52.491138
5765.625000	-55.273651
5812.500000	-46.299198
5859.375000	-49.532661
5906.250000	-52.126167
5953.125000	-49.822948
6000.000000	-48.769825
6046.875000	-52.938622
6093.750000	-46.986298
6140.625000	-51.245689
6187.500000	-54.800682
6234.375000	-47.843761
6281.250000	-47.929928
6328.125000	-52.867733
6375.000000	-49.944408
6421.875000	-48.712666
6468.750000	-52.230068
6515.625000	-46.513710
6562.500000	-49.510292
6609.375000	-56.930355
6656.250000	-51.412498
6703.125000	-46.315914
6750.000000	-51.840065
6796.875000	-47.980850
6843.750000	-51.062538
6890.625000	-53.567791
6937.500000	-48.563107
6984.375000	-46.126247
7031.250000	-53.524685
7078.125000	-51.757641
7125.000000	-48.563198
7171.875000	-51.095848
7218.750000	-48.204685
7265.625000	-47.903675
7312.500000	-53.813675
7359.375000	-51.593361
7406.250000	-46.441902
7453.125000	-51.833179
7500.000000	-51.640030
7546.875000	-49.102631
7593.750000	-49.987476
7640.625000	-50.188778
7687.500000	-47.504776
7734.375000	-53.650002
7781.250000	-55.212940
7828.125000	-47.428677
7875.000000	-49.114197
7921.875000	-51.454124
7968.750000	-50.648975
8015.625000	-51.145546
8062.500000	-53.596352
8109.375000	-46.931370
8156.250000	-51.126701
8203.125000	-55.199574
8250.000000	-51.924343
8296.875000	-49.256973
8343.750000	-53.206364
8390.625000	-48.905308
8437.500000	-53.469074
8484.375000	-57.917240
8531.250000	-50.686241
8578.125000	-49.753311
8625.000000	-55.323895
8671.875000	-52.262878
8718.750000	-52.268063
8765.625000	-55.637329
8812.500000	-51.069286
8859.375000	-52.133350
8906.250000	-57.114300
8953.125000	-53.395554
9000.000000	-51.405643
9046.875000	-55.902153
9093.750000	-53.644421
9140.625000	-53.475616
9187.500000	-55.826225
9234.375000	-51.842442
9281.250000	-51.204613
9328.125000	-57.440983
9375.000000	-56.799881
9421.875000	-52.403423
9468.750000	-54.869312
9515.625000	-53.482918
9562.500000	-54.892067
9609.375000	-58.997005
9656.250000	-58.570465
9703.125000	-53.097034
9750.000000	-56.351681
9796.875000	-56.924892
9843.750000	-58.571087
9890.625000	-58.986332
9937.500000	-57.315243
9984.375000	-55.018303
10031.250000	-58.036690
10078.125000	-59.853085
10125.000000	-59.923931
10171.875000	-58.498909
10218.750000	-56.980530
10265.625000	-57.013004
10312.500000	-60.497593
10359.375000	-60.033833
10406.250000	-58.957344
10453.125000	-58.135994
10500.000000	-58.675129
10546.875000	-58.506992
10593.750000	-60.514877
10640.625000	-58.205479
10687.500000	-58.005539
10734.375000	-58.508915
10781.250000	-60.633167
10828.125000	-58.374401
10875.000000	-59.195961
10921.875000	-58.477642
10968.750000	-58.748798
11015.625000	-59.883266
11062.500000	-60.587559
11109.375000	-58.535400
11156.250000	-58.903915
11203.125000	-61.440922
11250.000000	-62.097858
11296.875000	-61.072567
11343.750000	-59.199131
11390.625000	-59.098396
11437.500000	-60.079540
11484.375000	-61.722637
11531.250000	-59.421780
11578.125000	-58.917213
11625.000000	-60.227158
11671.875000	-59.366592
11718.750000	-60.466400
11765.625000	-61.071419
11812.500000	-59.323708
11859.375000	-57.760334
11906.250000	-59.218388
11953.125000	-58.290947
12000.000000	-59.826488
12046.875000	-58.223438
12093.750000	-57.565681
12140.625000	-59.081215
12187.500000	-60.058250
12234.375000	-57.643940
12281.250000	-57.522179
12328.125000	-57.617622
12375.000000	-56.176079
12421.875000	-59.074749
12468.750000	-59.686180
12515.625000	-55.717529
12562.500000	-56.836445
12609.375000	-57.276478
12656.250000	-55.715302
12703.125000	-57.643848
12750.000000	-58.582638
12796.875000	-54.089432
12843.750000	-56.004013
12890.625000	-59.238773
12937.500000	-57.723740
12984.375000	-57.074863
13031.250000	-59.304890
13078.125000	-55.259747
13125.000000	-57.430569
13171.875000	-59.085033
13218.750000	-54.891476
13265.625000	-54.555931
13312.500000	-58.304935
13359.375000	-56.745628
13406.250000	-55.344345
13453.125000	-58.155430
13500.000000	-53.835629
13546.875000	-55.791256
13593.750000	-59.908676
13640.625000	-56.109253
13687.500000	-52.732494
13734.375000	-58.419567
13781.250000	-54.784313
13828.125000	-56.746136
13875.000000	-57.772114
13921.875000	-55.236988
13968.750000	-52.320240
14015.625000	-58.251160
14062.500000	-56.408554
14109.375000	-54.348476
14156.250000	-56.443035
14203.125000	-54.687580
14250.000000	-54.540806
14296.875000	-59.398399
14343.750000	-57.036774
14390.625000	-52.377930
14437.500000	-57.158596
14484.375000	-57.305206
14531.250000	-54.449738
14578.125000	-54.734634
14625.000000	-56.756474
14671.875000	-53.820969
14718.750000	-59.100872
14765.625000	-59.199806
14812.500000	-52.867645
14859.375000	-54.743053
14906.250000	-57.620094
14953.125000	-55.980160
15000.000000	-55.538807
15046.875000	-57.749035
15093.750000	-52.717121
15140.625000	-57.315453
15187.500000	-60.439915
15234.375000	-55.937344
15281.250000	-53.440208
15328.125000	-57.860020
15375.000000	-54.719635
15421.875000	-57.629536
15468.750000	-58.967236
15515.625000	-54.816273
15562.500000	-54.406666
15609.375000	-60.648529
15656.250000	-56.723858
15703.125000	-54.374924
15750.000000	-57.203144
15796.875000	-55.474476
15843.750000	-56.652012
15890.625000	-59.538830
15937.500000	-56.355553
15984.375000	-53.568974
16031.250000	-60.139542
16078.125000	-58.686367
16125.000000	-56.571548
16171.875000	-57.076477
16218.750000	-55.246658
16265.625000	-55.172421
16312.500000	-61.899040
16359.375000	-59.333733
16406.250000	-53.943470
16453.125000	-56.322495
16500.000000	-55.649601
16546.875000	-56.673206
16593.750000	-58.166348
16640.625000	-56.982910
16687.500000	-53.003620
16734.375000	-58.045692
16781.250000	-57.469913
16828.125000	-55.807579
16875.000000	-55.541931
16921.875000	-56.721786
16968.750000	-54.029343
17015.625000	-58.273991
17062.500000	-58.564850
17109.375000	-53.654163
17156.250000	-55.854141
17203.125000	-58.432583
17250.000000	-55.717163
17296.875000	-55.437492
17343.750000	-56.400558
17390.625000	-52.903793
17437.500000	-57.391830
17484.375000	-60.469685
17531.250000	-54.242298
17578.125000	-53.138237
17625.000000	-55.983929
17671.875000	-54.177158
17718.750000	-55.831486
17765.625000	-57.126156
17812.500000	-51.723011
17859.375000	-53.049156
17906.250000	-58.480667
